number,source,code,onset time
one,pro,face,0:13.0
one,pro,body,0:14.0
one,pro,face,0:15.0
one,pro,body,0:16.0
one,pro,face,0:17.0
one,pro,face,0:17.3
one,pro,body,0:18.0
one,pro,detail,0:19.0
one,pro,face,0:20.0
one,pro,body,0:21.0
one,pro,face,0:22.0
one,pro,face,0:22.3
one,pro,face,0:23.0
one,pro,face,0:24.0
one,pro,words,0:25.0
one,pro,detail,0:26.0
one,pro,ui,0:27.0
one,pro,body,0:28.0
one,pro,ui,0:29.0
one,pro,body,0:30.0
one,pro,body,0:31.0
one,pro,body,0:32.0
one,pro,ui,0:33.0
one,pro,ui,0:39.0
one,pro,face,0:42.0
one,pro,ui,0:43.0
one,pro,face,0:44.0
one,pro,ui,0:45.0
one,pro,face,0:47.0
one,pro,ui,0:48.0
one,pro,body,0:52.0
one,pro,face,0:53.0
one,pro,ui,0:54.0
one,pro,face,0:58.0
one,pro,ui,0:59.0
one,pro,words,1:00.0
one,pro,face,1:01.0
one,pro,ui,1:02.0
one,pro,face,1:06.0
one,pro,action,1:07.0
two,pro,face,1:08.0
two,pro,face,1:08.3
two,pro,body,1:09.0
two,pro,caption,1:10.0
two,pro,detail,1:21.0
two,pro,face,1:22.0
two,pro,face,1:23.0
two,pro,face,1:23.3
two,pro,detail,1:24.0
two,pro,detail,1:24.3
two,pro,face,1:25.0
two,pro,detail,1:26.0
two,pro,detail,1:27.0
two,pro,face,1:28.0
two,pro,detail,1:29.0
two,pro,face,1:29.3
two,pro,detail,1:30.0
two,pro,ui,1:31.0
two,pro,detail,1:36.0
two,pro,face,1:37.0
two,pro,action,1:38.0
three,pro,face,1:39.0
three,pro,body,1:40.0
three,pro,face,1:41.0
three,pro,body,1:42.0
three,pro,caption,1:43.0
three,pro,body,1:44.0
three,pro,caption,1:45.0
three,pro,ui,1:50.0
three,pro,body,1:52.0
three,pro,ui,1:53.0
three,pro,face,1:57.0
three,pro,ui,1:58.0
three,pro,face,1:59.0
three,pro,body,2:00.0
three,pro,action,2:01.0
four,ugc,face,2:03.0
four,ugc,caption,2:04.0
four,ugc,face,2:05.0
four,ugc,body,2:06.0
four,ugc,face,2:07.0
four,ugc,face,2:07.3
four,ugc,face,2:08.0
four,ugc,ui,2:09.0
four,ugc,detail,2:12.0
four,ugc,face,2:14.0
four,ugc,action,2:19.0
five,pro,face,2:20.0
five,pro,body,2:22.0
five,pro,body,2:23.0
five,pro,caption,2:24.0
five,pro,caption,2:25.0
five,pro,words,2:33.0
five,pro,ui,2:34.0
five,pro,body,2:34.0
five,pro,face,2:35.0
five,pro,ui,2:36.0
five,pro,body,2:38.0
five,pro,face,2:39.0
five,pro,detail,2:40.0
five,pro,ui,2:40.3
five,pro,body,2:41.0
five,pro,body,2:42.0
five,pro,ui,2:43.0
five,pro,body,2:44.0
five,pro,action,2:45.0
seven,pro,face,2:55.0
seven,pro,face,2:56.0
seven,pro,face,2:57.0
seven,pro,caption,2:58.0
seven,pro,ui,3:04.0
seven,pro,caption,3:05.0
seven,pro,face,3:06.0
seven,pro,face,3:07.0
seven,pro,body,3:08.0
seven,pro,face,3:09.0
