onset time,description,
0:15,pface 1,
0:15:30,pdetail (person 2),
0:16,pface 1,
0:16:30,pdetail (person 3),
0:17,pdetail,
0:17:30,pface 1,
0:18,pface 2,
0:20,pface 1,
0:20:30,pdetail (person 3),
0:21,pface 2,
0:21:30,pinterface,
0:23,pface 1,
0:23:30,pbackground,
0:24,pface1,
0:25,pface 2,
0:27,pface 1,
0:27:30,pclick out,
next pic 2,next pic 2,
0:28,pface 1,
0:29,pbackground,
0:29:30,pdetail (person 2),
0:30,pinterface,
0:30:30,pface 1,
0:31,pdetail (person 2),
0:31:30,pbackground,
0:32,pinterface,
0:33,pface 1,
0:34,pdetail (person 2),
0:34:30,pinterface,
0:35:30,pclick out,
next pic 3,next pic 3,
0:36:30,pdetail (person 1),
0:37,pdetail (person 2),
0:38,pinterface,
0:38:30,pdetail (person 1),
0:39,pdetail (person 2),
0:40,pdetail (person 1),
0:41,pdetail (person 2),
0:41:30,pinterface,
0:42,pdetail (person 2),
0:43,pinterface,
0:43:30,pdetail (person 1),
0:45:00,pclick out,
next pic 4,next pic 4,
0:47,uface 1,
0:48,uface 2,
0:48:30,uinterface,
0:49,udetail,
0:49:30,uface 3,
0:50,udetail,
0:50:30,udetail (person 4),
0:51,udetail,
0:52,uinterface,
0:53,udetail,
0:56,uface 1,
0:56:30,uclick out,
next pic 5,next pic 5,
0:57,pdetail (person 1),
0:58,pface 2,
0:58:30,pinterface,
0:59,pdetail (person 2),
1:01,pdetail (person 1),
1:02,pbackground,
1:02:30,pdetail (person 1),
1:03,pface 2,
1:04,pinterface,
1:05,pdetail (person 2),
1:05:30,pdetail (person 1),
1:06,pinterface,
1:07,pclick out,
next pic 6,next pic 6 (didn't load),
next pic 7,next pic 7,
1:13,pface 1,
1:13:30,pface 2,
1:14,pdetail (person 1),
1:14:30,pdetail (person 2),
1:15,pinterface,
1:16,pdetail (person 1),
1:16:30,pface 1,
1:17,pface 2,
1:17:30,pface 1,
1:18,pdetail (person 1),
1:18:30,pdetail (person 3),
1:19,pface 2,
1:19:30,pface 1,
1:20,pinterface,
1:20:30,pdetail (person 1),
1:21,pinterface,
1:21:30,pface 2,
1:22,pdetail (person 1),
1:22,pface 2,
1:23,pinterface,
1:23:30,pclick out,
next pic 8,next pic 8,
1:24,ubackground,
1:25,udetail,
1:25:30,ubackground,
1:26,uinterface,
1:26:30,ucaption,
1:29,udetail,
1:29:30,ubackground,
1:30,udetail,
1:31,ubackground,
1:31:30,udetail,
1:32,udetail,
1:32:30,udetail,
1:33,uinterface,
1:33:30,udetail,
1:34,udetail,
1:35,uinterface,
1:36,udetail,
1:36:30,uclick out,
next pic 9,next pic 9,
1:39,pface 1,
1:40,pface 2,
1:41,pface 3,
1:42,pdetail (person 3),
1:42:30,pdetail (person 4),
1:43,pinterface,
1:44,pdetail (person 3),
1:44:30,pface 1,
1:45,pface 3,
1:45:30,pinterface,
1:46,pdetail (person 4),
1:47,pcaption,
1:51,pclick out,
next pic 10,next pic 10,
1:52,udetail,
1:53,uinterface,
1:53:30,udetail,
1:54,udetail,
1:54:30,udetail,
1:55,udetail,
1:56,uinterface,
1:57,uclick out,
next pic 11,next pic 11,
1:59,udetail words,
2:00,ubackground,
2:01,udetail,
2:02,udetail words,
2:03,udetail words,
2:03:30,udetail words,
2:04,udetail,
2:05,udetail words,
2:06,uinterface,
2:06:30,udetail words,
2:07,uinterface,
2:08,uclick out,
next pic 12,next pic 12,
2:09,udetail (person 1),
2:10,udetail (person 2),
2:10:30,udetail (person 1),
2:11,uface 1,
2:11:30,uface 2,
2:12,uface 3,
