 onset time,description
next pic 1,next pic 1
0:13,pdetail (person 1)
0:13:30,pinterface
0:14,pcaption
0:18,pface 1
0:19,pinterface
0:21,pface 1
0:21:30,pface 2
0:22,pface 1
0:22:30,pdetail (person 3)
0:23,pinterface
0:24,pdetail (person 1)
0:25,pface 1
0:26,pinterface
0:28,pclick out
next pic 2,next pic 2
0:29,pbackground
0:29:30,pface 1
0:30,pcaption
0:46,pbackground
0:46:30,pface 1
0:47,pdetail (person 2)
0:48,pdetail
0:49,pinterface
0:50,pdetail
0:51,pinterface
0:53,pclick out
next pic 3,next pic 3
0:54,pface 1
0:55,pcaption
0:58,pdetail (person 2)
0:59,pcaption
1:02,pface 1
1:04,pinterface
1:08,pclick out
next pic 4,next pic 4
1:09,udetail
1:10,ucaption
1:10:30,udetail
1:12,ucaption
1:15,uface 1
1:15:30,udetail (person 2)
1:16,udetail (person 3)
1:17,uface 2
1:18,uface 3
1:18:30,uface 1
1:19,uinterface
1:22,uclick out
next pic 5,next pic 5
1:22,pdetail (person 1)
1:23,pcaption
1:33,pdetail words
1:33:30,pface 1
1:34,pdetail (person 2)
1:35,pdetail (person 1)
1:36,pinterface
1:39,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
1:55,pdetail (person 1)
1:56,pcaption
2:06,pface 1
2:06:30,pface 2
2:07,pcaption
2:08,pinterface
2:10,pclick out
next pic 8,next pic 8
2:11,uface 1
2:12,ucaption
2:13,uface 1
2:14,udetail 
2:14:30,udetail
2:15,udetail
2:16,uinterface
2:16:30,uface 1
2:17,uinterface
2:19,uclick out
next pic 9,next pic 9
2:20,pcaption
2:21,pface 1
2:22,pface 2
2:22:30,pcaption
2:32,pface 1
2:32:30,pface 2
2:33:30,pdetail (person 4)
2:34,pface 4
2:35,pinterface
2:35:30,pface 2
2:36,pdetail (person 3)
2:37,pinterface
2:37:30,pface 1
2:39,pclick out
next pic 10,next pic 10
2:40,udetail
2:40:30,ucaption
2:44,udetail
2:44:30,udetail
2:45,uinterface
2:47,uclick out
next pic 11,next pic 11
2:51,udetail
2:52,ucaption
3:00,udetail (person 21)
3:00:30,uface 1
3:01,ubackground
3:02,uinterface
3:04,udetail words
3:05,udetail words
3:05:30,uface 1
3:06,uinterface
3:08,uclick out
next pic 12,next pic 12
3:09,uinterface
3:10,udetail
3:11,uface 1
3:11:30,uface 2
3:12,uinterface
3:13,ucaption
3:20,uinterface
3:26,uclick out
next pic 13,next pic 13
3:27,pface 1
3:28:30,pcaption
3:35,pinterface
3:36,pface 1
3:38,pdetail (person 1)
3:39,pinterface
3:41,pface 1
3:43,pdetail (person 1)
3:44,pdetail (person 1)
3:45,pinterface
3:47,pclick out
next pic 14,next pic 14
3:48,pdetail (person 1)
3:49,pcaption
3:52,pdetail (person 2)
3:53,pcaption
