onset time,description
0:13,pinterface
0:14,pcaption
0:15,pdetail (person 1)
0:15:30,pface 1
0:16,pdetail (person 1)
0:17,pcaption
0:18,pinterface
0:19,pcaption
0:20,pface 1
0:20:30,pcaption
0:26,pinterface
0:28,pcaption
0:31,pface 1
0:32,pcaption
0:36,pinterface
0:37,pdetail (person 2)
0:40,pdetail (person 1)
0:41,pface 1
0:42,pface 2
0:43,pface 1
0:44,pinterface
0:45,pclick out
next pic 2,next pic 2
0:46,pface 1
0:47,pcaption
0:53,pface 1
0:54,pface 2
0:54:30,pface 1
0:55:30,pinterface
0:58,pface 1
1:00,pdetail (person 2)
1:00:30,pcaption
1:01,pface 1
1:02,pdetail
1:03,pinterface
1:06,pclick out
next pic 3,next pic 3
1:07,pface 1
1:08,pcaption
1:12,pdetail (person 2)
1:13,pface 1
1:14,pdetail (person 2)
1:16,pinterface
1:16:30,pdetail (person 2)
1:18,pdetail (person 2)
1:19,pinterface
1:20,pclick out
next pic 4,next pic 4
1:21,uface 1
1:21:30,ucaption
1:22,udetail (person 2)
1:23,uinterface
1:24,udetail (person 3)
1:25,uinterface
1:27,uface 3
1:27:30,uclick out
next pic 5,next pic 5
1:30,pface 1
1:30:30,pdetail (person 1)
1:31,pdetail (person 1)
1:32,pdetail (person 2)
1:33,pcaption
1:39,pface 1
1:39:30,pdetail (person 1)
1:40,pcaption
1:41,pinterface
1:41:30,pdetail (person 2)
1:42,pinterface
1:43,pdetail (person 2)
1:44,pclick out
next pic 6,next pic 6 (didn't load)
next pic 7,next pic 7
1:50,pface 1
1:51,pface 2
1:52,pcaption
1:55,pface 1
1:55:30,pface 2
1:56,pface 1
1:57,pcaption
2:00,pinterface
2:03,pface 1
2:04,pinterface
2:05,pclick out
next pic 8,next pic 8
2:06,uface 1
2:07,ucaption
2:10,uinterface
2:11,udetail
2:12,udetail
2:12:30,uinterface
2:13,uface 1
2:13:30,uclick out
next pic 9,next pic 9
2:14,pface 1
2:15,pcaption
2:23,pdetail (person 2)
2:24,pface 1
2:25,pinterface
2:26,pdetail (person 3)
2:27,pclick out
next pic 10,next pic 10
2:28,udetail
2:28:30,ucaption
2:30,udetail
2:31,ucaption
2:34,udetail
2:34:30,udetail
2:35,udetail
2:36,ucaption
2:37,udetail
2:38,uinterface
2:39:30,uclick out
next pic 11,next pic 11
2:42,uface 1
2:42:30,ucaption
2:50,ubackground
2:51,uinterface
2:55,udetail (person 2)
